BGI,5'RACE+UMI,iRepertoire,5'RACE,freq
1,0,0,0,0.00153313489519408
1,0,0,0,0.00217470487672493
1,0,0,0,0.0019397767846144
1,0,0,0,0.000899437510347724
1,0,0,0,0.00377815314171798
1,0,0,0,0.00221090764129726
1,0,0,0,0.00258467700131576
1,0,0,0,0.00172502452815313
1,0,0,0,0.00100093342568528
1,0,0,0,0.00176669012958035
1,0,0,0,0.0029240487889343
1,0,0,0,0.0020034646963558
1,0,0,0,0.000566945788212672
1,0,0,0,0.00139371302737251
1,0,0,0,0.00320953507348921
1,0,0,0,0.00158731915968007
1,0,0,0,0.00147301594041599
1,0,0,0,0.000418078942926494
1,0,0,0,0.000843664936398612
1,0,0,0,0.000174541008084841
1,0,0,0,0.000836149713721831
1,0,0,0,0.00118539817171514
1,0,0,0,0.00248675941142403
1,0,0,0,0.00199291523108878
1,0,0,0,0.00203211101469521
1,0,0,0,0.00016059399434932
1,0,0,0,0.00466968781536918
1,0,0,0,0.000844714416681758
1,0,0,0,0.00200218619793492
1,0,0,0,0.000967982608262587
1,0,0,0,0.0011716747063464
1,0,0,0,0.00128229694834286
1,0,0,0,0.00169438959052768
1,0,0,0,0.00120138176183339
1,0,0,0,0.00122191015875466
1,0,0,0,0.000567230937379479
1,0,0,0,0.00272400842679397
1,0,0,0,0.00199252479607196
1,0,0,0,0.000739872979002916
1,0,0,0,0.00060635153442273
1,0,0,0,0.00102260083861045
1,0,0,0,0.000300210277672823
1,0,0,0,0.000661654905848605
1,0,0,0,0.00164879648162894
1,0,0,0,0.00144994436302641
1,0,0,0,0.00217979904159106
1,0,0,0,0.000485747991716852
1,0,0,0,0.000643810636245415
1,0,0,0,0.0013914880389091
1,0,0,0,0.00149200443363321
1,0,0,0,0.00246848786431712
1,0,0,0,0.000417392811438691
1,0,0,0,0.000166961105673046
1,0,0,0,0.00119953427285632
1,0,0,0,0.00170290814094013
1,0,0,0,0.000821140563080303
1,0,0,0,0.00099880505290955
1,0,0,0,0.000985596616950274
1,0,0,0,0.00227528975696173
1,0,0,0,0.00205504693812764
1,0,0,0,0.000302805516450689
1,0,0,0,0.00364014402196743
1,0,0,0,0.000400396900534758
1,0,0,0,0.00106984760002507
1,0,0,0,0.00123975217454686
1,0,0,0,0.00163002026827503
1,0,0,0,0.00265319385640813
1,0,0,0,0.0020262187081341
1,0,0,0,0.00212352587283036
1,0,0,0,0.00138429145460555
